Experiment date,Setup ID,Experiment Name,Male flye type,Male DOB,Male days old,Female fly type,Female DOB,Female days old,Temperature,Humidity,Comments,Proofread Status,Notes,Exclude(?) 
2023-05-12,Left,20230512_153214,NM91,2023-05-08,4,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-05,7,23,40%,Camera frozen,skipped ,,
2023-05-12,Right,20230512_153214,NM91,2023-05-08,4,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-05,7,23,40%,"sigma coat is not painted well, discard this ",skipped ,,
2023-05-12,Left,20230512_163844,NM91,2023-05-08,4,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-05,7,23,40%,Camera frozen,skipped ,,
2023-05-12,Right,20230512_163844,NM91,2023-05-08,4,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-05,7,23,40%,"sigma coat is not painted well, discard this ",skipped ,,
2023-05-15,Left,20230515_111851,NM91,2023-05-10,5,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-10,5,23.5,37%,wing is damaged,skipped ,,
2023-05-15,Right,20230515_111851,NM91,2023-05-10,5,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-10,5,23.5,37%,Camera frozen,skipped ,,
2023-05-15,Left,20230515_130717,NM91,2023-05-10,5,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-11,4,23.5,40%,,complete,,
2023-05-15,Right,20230515_130717,NM91,2023-05-11,4,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-11,4,23.5,40%,The video length is shorter ,complete,not much singing,
2023-05-15,Left,20230515_162806,NM91,2023-05-11,4,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-10,5,23.5,40%,"not much courtship behavior, sigma coat seem to dry off, fly is able to walk upside down at the end",complete,"not much singing, camera is not very clear ",
2023-05-15,Right,20230515_162806,NM91,2023-05-10,5,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-10,5,23.5,40%,,complete,,
2023-05-16,Left,20230516_110613,NM91,2023-05-10,6,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-10,6,23.5,40%,not sure why the wing angle is small,complete,,
2023-05-16,Right,20230516_110613,NM91,2023-05-10,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-10,6,23.5,40%,,complete,camera is clearer (sigma coat would make the camera blurry!) ,
2023-05-16,Left,20230516_114205,NM91,2023-05-10,6,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-10,6,23.5,40%,"lots of grooming, copulate very fast ",complete,,
2023-05-16,Right,20230516_114205,NM91,2023-05-10,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,23.5,40%,"lots of singing, but a third fly got into the chamber near the end",complete,discard this? I deleted all the predictions after a third fly comes in (around 2 thirds of the video) ,
2023-05-16,Left,20230516_121910,NM91,2023-05-10,6,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-10,6,23.5,40%,not much singing/chasing,complete,,
2023-05-16,Right,20230516_121910,NM91,2023-05-10,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,23.5,40%,,complete,,
2023-05-16,Left,20230516_150416,NM91,2023-05-11,5,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,23.5,40%,"running out of flies for tnt, so only run control flies for this session ",complete,,
2023-05-16,Right,20230516_150416,NM91,2023-05-11,5,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,23.5,40%,,complete,,
2023-05-16,Left,20230516_154333,NM91,2023-05-11,5,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,23.5,40%,,complete,,
2023-05-16,Right,20230516_154333,NM91,2023-05-10,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,23.5,40%,,complete,,
2023-05-16,Left,20230516_161658,NM91,2023-05-11,5,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,22.9,33%,,complete,,
2023-05-16,Right,20230516_161658,NM91,2023-05-10,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,23.5,40%,,complete,,
2023-05-17,Left,20230517_094418,NM91,2023-05-11,6,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.6,36%,,complete,,
2023-05-17,Right,20230517_094418,NM91,2023-05-11,6,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.6,38%,the sigma coat is not painted well ,skipped ,"discard this, sigma coat is not painted well, sometimes flies are on top of each other",
2023-05-17,Left,20230517_102122,NM91,2023-05-11,6,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.6,41%,,complete,,
2023-05-17,Right,20230517_111345,NM91,2023-05-10,7,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.5,40%,,complete,,
2023-05-17,Left,20230517_111345,NM91,2023-05-10,7,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.6,40%,"I was slow at loading flies in the other chamber, so might miss the beginning ",complete,,
2023-05-17,Right,20230517_132156,NM91,2023-05-11,6,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.5,37%,,complete,,
2023-05-17,Left,20230517_132156,NM91,2023-05-10,7,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.5,34%,,complete,,
2023-05-17,Right,20230517_141602,NM91,2023-05-11,6,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.5,37%,,complete,,
2023-05-17,Left,20230517_141602,NM91,2023-05-10,7,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.5,34%,,complete,,
2023-05-17,Right,20230517_145412,NM91,2023-05-11,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.5,37%,,complete,,
2023-05-17,Left,20230517_145412,NM91,2023-05-11,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.5,34%,"copulated very early, probably because I was too slow at loading the flies ",complete,,
2023-05-17,Right,20230517_153128,NM91,2023-05-10,7,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.5,37%,,complete,,
2023-05-17,Left,20230517_153128,NM91,2023-05-10,7,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.5,35%,,complete,,
2023-05-17,Right,20230517_160901,NM91,2023-05-10,7,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.5,37%,,skipped ,"discarded, sigma coat is not painted well, pause for the last half ",
2023-05-17,Left,20230517_160901,NM91,2023-05-10,7,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.5,36%,,complete,,
2023-05-17,Right,20230517_164537,NM91,2023-05-10,7,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.6,37%,,complete,discard? copulate very early,
2023-05-17,Left,20230517_164537,NM91,2023-05-10,7,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,5,23.6,36%,copulated very fast,complete,,
2023-05-18,Right,20230518_101257,NM91,2023-05-11,7,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-12,6,23.5,40%,,complete,,
2023-05-18,Left,20230518_101257,NM91,2023-05-11,7,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-12,6,23.5,41%,,complete,,
2023-05-18,Right,20230518_104848,NM91,2023-05-11,7,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,6,23.5,38%,,complete,,
2023-05-18,Left,20230518_104848,NM91,2023-05-11,7,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-12,6,23.5,38%,,complete,,
2023-05-18,Right,20230518_130529,NM91,2023-05-11,7,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,6,23.5,38%,,complete,,
2023-05-18,Left,20230518_130529,NM91,2023-05-11,7,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,6,23.5,38%,,complete,"deleted after the long copulation attempt, not sure if it's real/successful copulation",
2023-05-18,Right,20230518_150226,NM91,2023-05-11,7,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-15,3,23.5,38%,,complete,,
2023-05-18,Left,20230518_150226,NM91,2023-05-11,7,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-15,3,23.5,38%,,complete,"another fly comes in around the edge at the very end, but never appears in the arena ",
2023-05-18,Right,20230518_154044,NM91,2023-05-11,7,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-15,3,23.5,40%,,complete,,
2023-05-18,Left,20230518_154044,NM91,2023-05-11,7,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-15,3,23.5,40%,"not singing much, lots of grooming ",complete,,
2023-05-18,Right,20230518_162500,NM91,2023-05-11,7,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-15,3,23.5,40%,,complete,not much singing in the first half ,
2023-05-18,Left,20230518_162500,NM91,2023-05-11,7,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,6,23.5,40%,,complete,,
2023-05-19,Left,20230519_121359,NM91,2023-05-15,4,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-16,3,23.5,41%,"This round ignore the right folder, didn't have enough flies. Female is group housed only in 2. Male is still group housed in 10-14. ",complete,,
2023-05-19,Right,20230519_131155,NM91,2023-05-16,3,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-16,3,23.5,41%,Female is grouped in 3,complete,,
2023-05-19,Left,20230519_131155,NM91,2023-05-16,3,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-16,3,23.5,42%,Female is grouped in 3,complete,discard? no singing/chasing/courtship behavior ,
2023-05-19,Right,20230519_134651,NM91,2023-05-16,3,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-16,3,23.5,41%,Female is grouped in 2,complete,,
2023-05-19,Left,20230519_134651,NM91,2023-05-16,3,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-16,3,23.5,42%,Female is grouped in 3,complete,"not much singing, but copulated ",
2023-05-19,Right,20230519_151758,NM91,2023-05-15,4,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-15,4,23.7,38%,Female is grouped in 2,complete,,
2023-05-19,Left,20230519_151758,NM91,2023-05-15,4,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-15,4,23.5,36%,,complete,,
2023-05-19,Right,20230519_155704,NM91,2023-05-15,4,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-15,4,23.7,38%,,complete,,
2023-05-19,Left,20230519_155704,NM91,2023-05-15,4,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-15,4,23.5,36%,Female is grouped in 2,complete,,
2023-05-22,Right,20230522_120911,NM91,2023-05-17,5,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-17,5,23.6,40%,Check if the male wing is not good? Female is grouped in 3,complete,,
2023-05-22,Left,20230522_120911,NM91,2023-05-17,5,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-17,5,23.6,43%,Female is grouped in 3,complete,,
2023-05-22,Right,20230522_125003,NM91,2023-05-17,5,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-18,4,23.5,40%,Female is grouped in 2,complete,,
2023-05-22,Left,20230522_125003,NM91,2023-05-17,5,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-17,5,23.4,40%,Female is grouped in 3,complete,,
2023-05-23,Right,20230523_114756,NM91,2023-05-17,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-17,6,23.4,41%,Female is grouped in 4,complete,,
2023-05-23,Left,20230523_114756,NM91,2023-05-17,6,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-19,4,23.6,43%,Female is grouped in 2,complete,,
2023-05-23,Right,20230523_122541,NM91,2023-05-17,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-17,6,23.5,40%,Female is grouped in 4,complete,,
2023-05-23,Left,20230523_122541,NM91,2023-05-17,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-17,6,23.6,40%,Female is grouped in 4,complete,,