,expt,rig,exptName,exptDate,maleGT,maleDOB,maleAge,femaleGT,femaleDOB,femaleAge,cop,copFrame,exptpath,songpath,datapath
37,20230517_164537,right,20230517_164537right,2023-05-17,NM91,2023-05-10,7,pc2_control,2023-05-12,5,1,28000,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_164537/right/20230517_164537right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_164537/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_164537/right/vSampleNumber_at_Frame.h5"
38,20230517_164537,left,20230517_164537left,2023-05-17,NM91,2023-05-10,7,pc2_control,2023-05-12,5,1,3068,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_164537/left/20230517_164537left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_164537/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230517_164537/left/vSampleNumber_at_Frame.h5"
39,20230518_101257,right,20230518_101257right,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-12,6,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_101257/right/20230518_101257right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_101257/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_101257/right/vSampleNumber_at_Frame.h5"
40,20230518_101257,left,20230518_101257left,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-12,6,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_101257/left/20230518_101257left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_101257/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_101257/left/vSampleNumber_at_Frame.h5"
41,20230518_104848,right,20230518_104848right,2023-05-18,NM91,2023-05-11,7,pc2_control,2023-05-12,6,1,76382,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_104848/right/20230518_104848right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_104848/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_104848/right/vSampleNumber_at_Frame.h5"
42,20230518_104848,left,20230518_104848left,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-12,6,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_104848/left/20230518_104848left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_104848/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_104848/left/vSampleNumber_at_Frame.h5"
43,20230518_130529,right,20230518_130529right,2023-05-18,NM91,2023-05-11,7,pc2_control,2023-05-12,6,1,81974,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_130529/right/20230518_130529right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_130529/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_130529/right/vSampleNumber_at_Frame.h5"
44,20230518_130529,left,20230518_130529left,2023-05-18,NM91,2023-05-11,7,pc2_control,2023-05-12,6,1,19997,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_130529/left/20230518_130529left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_130529/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_130529/left/vSampleNumber_at_Frame.h5"
45,20230518_150226,right,20230518_150226right,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-15,3,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_150226/right/20230518_150226right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_150226/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_150226/right/vSampleNumber_at_Frame.h5"
46,20230518_150226,left,20230518_150226left,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-15,3,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_150226/left/20230518_150226left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_150226/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_150226/left/vSampleNumber_at_Frame.h5"
47,20230518_154044,right,20230518_154044right,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-15,3,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_154044/right/20230518_154044right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_154044/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_154044/right/vSampleNumber_at_Frame.h5"
48,20230518_154044,left,20230518_154044left,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-15,3,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_154044/left/20230518_154044left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_154044/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_154044/left/vSampleNumber_at_Frame.h5"
49,20230518_162500,right,20230518_162500right,2023-05-18,NM91,2023-05-11,7,pc2_tnt,2023-05-15,3,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_162500/right/20230518_162500right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_162500/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_162500/right/vSampleNumber_at_Frame.h5"
50,20230518_162500,left,20230518_162500left,2023-05-18,NM91,2023-05-11,7,pc2_control,2023-05-12,6,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_162500/left/20230518_162500left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_162500/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230518_162500/left/vSampleNumber_at_Frame.h5"
51,20230519_121359,left,20230519_121359left,2023-05-19,NM91,2023-05-15,4,pc2_tnt,2023-05-16,3,1,53590,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_121359/left/20230519_121359left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_121359/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_121359/left/vSampleNumber_at_Frame.h5"
52,20230519_131155,right,20230519_131155right,2023-05-19,NM91,2023-05-16,3,pc2_tnt,2023-05-16,3,1,69680,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_131155/right/20230519_131155right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_131155/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_131155/right/vSampleNumber_at_Frame.h5"
53,20230519_131155,left,20230519_131155left,2023-05-19,NM91,2023-05-16,3,pc2_tnt,2023-05-16,3,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_131155/left/20230519_131155left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_131155/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_131155/left/vSampleNumber_at_Frame.h5"
54,20230519_134651,right,20230519_134651right,2023-05-19,NM91,2023-05-16,3,pc2_tnt,2023-05-16,3,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_134651/right/20230519_134651right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_134651/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_134651/right/vSampleNumber_at_Frame.h5"
55,20230519_134651,left,20230519_134651left,2023-05-19,NM91,2023-05-16,3,pc2_tnt,2023-05-16,3,1,93022,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_134651/left/20230519_134651left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_134651/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_134651/left/vSampleNumber_at_Frame.h5"
56,20230519_151758,right,20230519_151758right,2023-05-19,NM91,2023-05-15,4,pc2_tnt,2023-05-15,4,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_151758/right/20230519_151758right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_151758/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_151758/right/vSampleNumber_at_Frame.h5"
57,20230519_151758,left,20230519_151758left,2023-05-19,NM91,2023-05-15,4,pc2_control,2023-05-15,4,1,15920,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_151758/left/20230519_151758left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_151758/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_151758/left/vSampleNumber_at_Frame.h5"
58,20230519_155704,right,20230519_155704right,2023-05-19,NM91,2023-05-15,4,pc2_control,2023-05-15,4,1,27148,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_155704/right/20230519_155704right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_155704/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_155704/right/vSampleNumber_at_Frame.h5"
59,20230519_155704,left,20230519_155704left,2023-05-19,NM91,2023-05-15,4,pc2_tnt,2023-05-15,4,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_155704/left/20230519_155704left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_155704/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230519_155704/left/vSampleNumber_at_Frame.h5"
60,20230522_120911,right,20230522_120911right,2023-05-22,NM91,2023-05-17,5,pc2_tnt,2023-05-17,5,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230522_120911/right/20230522_120911right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230522_120911/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230522_120911/right/vSampleNumber_at_Frame.h5"
61,20230522_120911,left,20230522_120911left,2023-05-22,NM91,2023-05-17,5,pc2_tnt,2023-05-17,5,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230522_120911/left/20230522_120911left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230522_120911/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230522_120911/left/vSampleNumber_at_Frame.h5"
62,20230522_125003,right,20230522_125003right,2023-05-22,NM91,2023-05-17,5,pc2_tnt,2023-05-18,4,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230522_125003/right/20230522_125003right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230522_125003/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230522_125003/right/vSampleNumber_at_Frame.h5"
63,20230522_125003,left,20230522_125003left,2023-05-22,NM91,2023-05-17,5,pc2_tnt,2023-05-17,5,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230522_125003/left/20230522_125003left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230522_125003/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230522_125003/left/vSampleNumber_at_Frame.h5"
64,20230523_114756,right,20230523_114756right,2023-05-23,NM91,2023-05-17,6,pc2_control,2023-05-17,6,1,82966,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230523_114756/right/20230523_114756right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230523_114756/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230523_114756/right/vSampleNumber_at_Frame.h5"
65,20230523_114756,left,20230523_114756left,2023-05-23,NM91,2023-05-17,6,pc2_tnt,2023-05-19,4,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230523_114756/left/20230523_114756left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230523_114756/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230523_114756/left/vSampleNumber_at_Frame.h5"
66,20230523_122541,right,20230523_122541right,2023-05-23,NM91,2023-05-17,6,pc2_control,2023-05-17,6,1,16917,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230523_122541/right/20230523_122541right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230523_122541/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230523_122541/right/vSampleNumber_at_Frame.h5"
67,20230523_122541,left,20230523_122541left,2023-05-23,NM91,2023-05-17,6,pc2_control,2023-05-17,6,1,30154,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230523_122541/left/20230523_122541left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230523_122541/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230523_122541/left/vSampleNumber_at_Frame.h5"
